expr,time,NumberRows,NumberGroups,seconds,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",28636324472,1e+07,1e+06,286.36324472,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",28085956355,1e+07,1e+06,280.85956355,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",27965928599,1e+07,1e+06,279.65928599,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",29153959615,1e+07,1e+06,291.53959615,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",28111355104,1e+07,1e+06,281.11355104,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",27002349895,1e+07,1e+06,270.02349895,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",29083938360,1e+07,1e+06,290.8393836,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",27985433238,1e+07,1e+06,279.85433238,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",27514489808,1e+07,1e+06,275.14489808,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",26688203648,1e+07,1e+06,266.88203648,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",5421364416,1e+07,1e+06,54.21364416,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",29189396236,1e+07,1e+06,291.89396236,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",26987012010,1e+07,1e+06,269.8701201,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",27435729691,1e+07,1e+06,274.35729691,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",28257814926,1e+07,1e+06,282.57814926,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",5433561942,1e+07,1e+06,54.33561942,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",30377984030,1e+07,1e+06,303.7798403,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",5477183377,1e+07,1e+06,54.77183377,Sorted
